Order ID,Customer ID,Customer Name,Segment,Order Date,Ship Date,Ship Mode,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
IN-100019,CU-0243,Customer_CU-0243,Consumer,2023-06-27,2023-07-04,Second Class,Karnataka,South,Office Supplies,Storage,25.25,1,0.1,6.01
IN-100020,CU-0466,Customer_CU-0466,Consumer,2021-12-07,2021-12-11,First Class,Punjab,North,Technology,Accessories,2487.63,1,0.3,623.42
IN-100021,CU-0766,Customer_CU-0766,Corporate,2022-08-08,2022-08-12,Standard Class,Bihar,East,Office Supplies,Supplies,73.46,6,0.0,26.52
IN-100022,CU-0071,Customer_CU-0071,Consumer,2022-10-05,2022-10-07,First Class,Assam,East,Office Supplies,Paper,95.66,1,0.3,13.46
IN-100023,CU-0674,Customer_CU-0674,Consumer,2021-05-20,2021-05-26,Standard Class,Delhi,North,Furniture,Furnishings,105.66,3,0.4,8.36
IN-100024,CU-0770,Customer_CU-0770,Consumer,2023-12-07,2023-12-11,Standard Class,Kerala,South,Technology,Accessories,407.51,3,0.0,134.99
IN-100025,CU-0251,Customer_CU-0251,Consumer,2021-05-29,2021-05-31,Standard Class,Tamil Nadu,South,Office Supplies,Storage,99.47,1,0.1,24.69
IN-100026,CU-0680,Customer_CU-0680,Corporate,2023-01-27,2023-01-31,Standard Class,Uttarakhand,North,Technology,Machines,236.06,2,0.3,13.66
IN-100027,CU-0352,Customer_CU-0352,Consumer,2021-08-01,2021-08-09,Standard Class,Delhi,North,Furniture,Bookcases,446.11,1,0.4,12.17
IN-100028,CU-0004,Customer_CU-0004,Consumer,2022-02-21,2022-02-27,Standard Class,Andhra Pradesh,South,Technology,Copiers,387.39,1,0.3,17.89
IN-100029,CU-0708,Customer_CU-0708,Consumer,2022-11-15,2022-11-21,Standard Class,Rajasthan,North,Office Supplies,Appliances,69.23,2,0.2,12.77
IN-100030,CU-0367,Customer_CU-0367,Corporate,2021-11-02,2021-11-07,First Class,Haryana,North,Technology,Accessories,387.02,5,0.0,138.37
IN-100031,CU-0243,Customer_CU-0243,Consumer,2022-03-07,2022-03-13,Standard Class,Madhya Pradesh,Central,Office Supplies,Storage,476.78,2,0.2,40.41
IN-100032,CU-0753,Customer_CU-0753,Consumer,2021-11-29,2021-12-08,Second Class,Maharashtra,West,Furniture,Furnishings,326.75,4,0.0,56.41
IN-100033,CU-0313,Customer_CU-0313,Corporate,2022-05-24,2022-05-28,Standard Class,Punjab,North,Office Supplies,Storage,34.75,1,0.2,3.21
IN-100034,CU-0410,Customer_CU-0410,Consumer,2022-04-12,2022-04-15,Second Class,Punjab,North,Office Supplies,Binders,188.72,6,0.0,35.99
IN-100035,CU-0322,Customer_CU-0322,Corporate,2022-11-10,2022-11-18,Standard Class,Rajasthan,North,Furniture,Bookcases,124.38,1,0.2,6.83
IN-100036,CU-0552,Customer_CU-0552,Consumer,2023-06-13,2023-06-18,Standard Class,Punjab,North,Office Supplies,Storage,108.63,1,0.2,31.83
IN-100037,CU-0419,Customer_CU-0419,Consumer,2022-02-08,2022-02-12,Standard Class,Uttarakhand,North,Furniture,Bookcases,68.87,3,0.1,10.03
IN-100038,CU-0309,Customer_CU-0309,Home Office,2022-10-31,2022-11-04,Second Class,West Bengal,East,Technology,Accessories,201.27,3,0.0,33.79
IN-100039,CU-0692,Customer_CU-0692,Consumer,2023-04-12,2023-04-17,Standard Class,Telangana,South,Furniture,Bookcases,386.64,3,0.0,82.85
IN-100040,CU-0241,Customer_CU-0241,Consumer,2022-03-14,2022-03-19,Same Day,Tamil Nadu,South,Office Supplies,Art,174.97,3,0.0,43.89
IN-100041,CU-0645,Customer_CU-0645,Corporate,2022-09-28,2022-10-01,Standard Class,Maharashtra,West,Furniture,Tables,378.83,3,0.0,58.65
IN-100042,CU-0110,Customer_CU-0110,Corporate,2022-02-03,2022-02-09,Second Class,Punjab,North,Technology,Copiers,599.39,1,0.0,151.76
IN-100043,CU-0684,Customer_CU-0684,Consumer,2023-05-21,2023-05-24,First Class,Odisha,East,Office Supplies,Supplies,68.65,4,0.0,25.76
IN-100044,CU-0163,Customer_CU-0163,Home Office,2023-12-24,2024-01-02,Standard Class,Odisha,East,Office Supplies,Envelopes,23.79,2,0.1,4.38
IN-100045,CU-0344,Customer_CU-0344,Corporate,2023-08-31,2023-09-05,Standard Class,Assam,East,Furniture,Bookcases,185.7,2,0.1,60.95
IN-100046,CU-0556,Customer_CU-0556,Consumer,2022-10-17,2022-10-24,Standard Class,Gujarat,West,Furniture,Tables,228.49,3,0.0,55.25
IN-100047,CU-0390,Customer_CU-0390,Home Office,2023-08-13,2023-08-17,Second Class,Punjab,North,Furniture,Furnishings,769.47,3,0.4,57.54
IN-100048,CU-0618,Customer_CU-0618,Corporate,2023-09-04,2023-09-06,Standard Class,Punjab,North,Technology,Machines,906.2,2,0.2,57.97
IN-100049,CU-0479,Customer_CU-0479,Consumer,2022-03-28,2022-04-02,Standard Class,Bihar,East,Technology,Copiers,136.08,3,0.0,47.51
IN-100050,CU-0187,Customer_CU-0187,Consumer,2021-09-19,2021-09-28,First Class,Punjab,North,Office Supplies,Labels,120.5,1,0.1,24.23
IN-100051,CU-0259,Customer_CU-0259,Corporate,2021-04-13,2021-04-17,First Class,Odisha,East,Technology,Accessories,470.33,2,0.0,104.24
IN-100052,CU-0773,Customer_CU-0773,Corporate,2021-06-17,2021-06-22,Second Class,Karnataka,South,Office Supplies,Supplies,48.95,3,0.3,9.55
IN-100053,CU-0717,Customer_CU-0717,Corporate,2021-03-05,2021-03-13,Standard Class,Uttarakhand,North,Furniture,Chairs,538.8,3,0.0,222.06
IN-100054,CU-0385,Customer_CU-0385,Consumer,2022-06-09,2022-06-15,Second Class,Rajasthan,North,Furniture,Chairs,753.55,1,0.5,126.27
IN-100055,CU-0615,Customer_CU-0615,Corporate,2023-03-24,2023-04-01,First Class,Chhattisgarh,Central,Furniture,Chairs,695.77,1,0.2,112.59
IN-100056,CU-0431,Customer_CU-0431,Corporate,2021-09-05,2021-09-11,Standard Class,Madhya Pradesh,Central,Office Supplies,Labels,42.3,1,0.1,8.53
IN-100057,CU-0552,Customer_CU-0552,Consumer,2023-10-01,2023-10-04,First Class,Gujarat,West,Technology,Copiers,503.56,6,0.0,115.75
IN-100058,CU-0476,Customer_CU-0476,Home Office,2023-09-18,2023-09-23,Standard Class,Kerala,South,Office Supplies,Appliances,121.28,1,0.2,12.22
IN-100059,CU-0283,Customer_CU-0283,Consumer,2023-02-16,2023-02-20,Standard Class,Rajasthan,North,Technology,Machines,1600.37,1,0.0,549.81
IN-100060,CU-0503,Customer_CU-0503,Corporate,2021-01-21,2021-01-26,Second Class,Uttar Pradesh,North,Furniture,Chairs,225.13,4,0.3,34.54
IN-100061,CU-0353,Customer_CU-0353,Consumer,2023-07-07,2023-07-13,Standard Class,Uttar Pradesh,North,Furniture,Bookcases,284.71,3,0.1,93.1
IN-100062,CU-0123,Customer_CU-0123,Consumer,2023-05-22,2023-05-31,Standard Class,Madhya Pradesh,Central,Office Supplies,Envelopes,33.26,1,0.2,8.94
IN-100063,CU-0199,Customer_CU-0199,Consumer,2022-01-15,2022-01-18,Standard Class,Andhra Pradesh,South,Office Supplies,Paper,30.67,2,0.2,1.75
IN-100064,CU-0130,Customer_CU-0130,Consumer,2022-08-30,2022-09-02,Standard Class,Maharashtra,West,Furniture,Bookcases,632.72,1,0.3,165.79
IN-100065,CU-0117,Customer_CU-0117,Consumer,2023-10-03,2023-10-06,First Class,Bihar,East,Furniture,Bookcases,977.49,6,0.1,291.09
IN-100066,CU-0783,Customer_CU-0783,Home Office,2021-05-14,2021-05-18,Standard Class,Gujarat,West,Furniture,Chairs,311.81,2,0.0,87.66
IN-100067,CU-0583,Customer_CU-0583,Corporate,2023-05-03,2023-05-08,Standard Class,Assam,East,Office Supplies,Binders,222.11,1,0.0,39.41
IN-100068,CU-0161,Customer_CU-0161,Consumer,2021-05-04,2021-05-09,Standard Class,West Bengal,East,Office Supplies,Storage,124.65,1,0.1,39.96
IN-100069,CU-0240,Customer_CU-0240,Home Office,2021-01-06,2021-01-10,Standard Class,Telangana,South,Office Supplies,Paper,50.37,1,0.0,18.31
IN-100070,CU-0062,Customer_CU-0062,Consumer,2022-06-26,2022-07-02,Standard Class,Haryana,North,Office Supplies,Binders,124.62,1,0.0,47.67
IN-100071,CU-0506,Customer_CU-0506,Home Office,2021-12-06,2021-12-12,Standard Class,Odisha,East,Office Supplies,Appliances,359.33,3,0.0,87.46
IN-100072,CU-0602,Customer_CU-0602,Corporate,2023-06-16,2023-06-18,First Class,Kerala,South,Furniture,Furnishings,320.97,1,0.2,109.85
IN-100073,CU-0186,Customer_CU-0186,Corporate,2021-02-12,2021-02-21,First Class,Chhattisgarh,Central,Office Supplies,Appliances,368.04,2,0.0,82.12
IN-100074,CU-0711,Customer_CU-0711,Home Office,2023-06-12,2023-06-17,Standard Class,Bihar,East,Technology,Phones,62.94,3,0.0,22.03
IN-100075,CU-0002,Customer_CU-0002,Corporate,2023-10-12,2023-10-16,First Class,Odisha,East,Technology,Phones,1393.69,1,0.0,521.63
IN-100076,CU-0295,Customer_CU-0295,Consumer,2023-08-05,2023-08-09,Standard Class,Uttarakhand,North,Furniture,Bookcases,354.12,4,0.3,39.8
IN-100077,CU-0566,Customer_CU-0566,Consumer,2023-06-17,2023-06-24,Standard Class,Maharashtra,West,Technology,Phones,508.21,1,0.3,59.63
IN-100078,CU-0426,Customer_CU-0426,Consumer,2023-04-16,2023-04-18,Second Class,Delhi,North,Furniture,Furnishings,355.46,6,0.2,107.99
IN-100079,CU-0072,Customer_CU-0072,Corporate,2023-09-16,2023-09-25,Standard Class,Jharkhand,East,Furniture,Furnishings,67.35,3,0.0,26.46
IN-100080,CU-0676,Customer_CU-0676,Home Office,2022-07-20,2022-07-26,Standard Class,Assam,East,Technology,Machines,545.82,3,0.0,245.2
IN-100081,CU-0715,Customer_CU-0715,Home Office,2023-09-30,2023-10-07,First Class,Madhya Pradesh,Central,Technology,Copiers,917.27,2,0.0,202.84
IN-100082,CU-0668,Customer_CU-0668,Consumer,2022-05-05,2022-05-10,Same Day,Karnataka,South,Furniture,Furnishings,1077.41,5,0.1,278.09
IN-100083,CU-0468,Customer_CU-0468,Home Office,2021-11-08,2021-11-13,Standard Class,Assam,East,Furniture,Tables,218.19,1,0.5,21.91
IN-100084,CU-0337,Customer_CU-0337,Corporate,2021-02-01,2021-02-07,Second Class,Tamil Nadu,South,Technology,Accessories,321.29,2,0.0,51.16
IN-100085,CU-0765,Customer_CU-0765,Home Office,2023-12-29,2024-01-02,Same Day,Jharkhand,East,Technology,Copiers,423.44,3,0.0,181.86
IN-100086,CU-0368,Customer_CU-0368,Consumer,2021-07-05,2021-07-09,Standard Class,Odisha,East,Furniture,Chairs,686.99,1,0.0,247.43
IN-100087,CU-0700,Customer_CU-0700,Corporate,2023-02-07,2023-02-11,Standard Class,Chhattisgarh,Central,Furniture,Furnishings,429.66,1,0.2,127.17
IN-100088,CU-0295,Customer_CU-0295,Consumer,2022-05-09,2022-05-14,First Class,Uttar Pradesh,North,Office Supplies,Art,55.88,1,0.1,18.09
IN-100089,CU-0110,Customer_CU-0110,Corporate,2021-11-20,2021-11-22,First Class,Haryana,North,Technology,Machines,1055.68,2,0.1,277.59
IN-100090,CU-0797,Customer_CU-0797,Consumer,2022-05-01,2022-05-05,First Class,Telangana,South,Technology,Machines,725.87,2,0.0,145.89
IN-100091,CU-0257,Customer_CU-0257,Consumer,2021-04-11,2021-04-19,Standard Class,Telangana,South,Office Supplies,Paper,215.25,4,0.2,60.48
IN-100092,CU-0335,Customer_CU-0335,Consumer,2021-10-08,2021-10-13,First Class,Telangana,South,Office Supplies,Labels,47.85,2,0.2,16.27
IN-100093,CU-0303,Customer_CU-0303,Home Office,2023-05-01,2023-05-04,First Class,Assam,East,Furniture,Bookcases,254.14,1,0.2,68.17
IN-100094,CU-0571,Customer_CU-0571,Corporate,2022-11-25,2022-12-02,Standard Class,Gujarat,West,Technology,Phones,467.36,3,0.2,131.94
IN-100095,CU-0654,Customer_CU-0654,Corporate,2023-01-20,2023-01-22,Standard Class,Andhra Pradesh,South,Technology,Phones,178.19,3,0.1,46.96
IN-100096,CU-0651,Customer_CU-0651,Corporate,2023-01-31,2023-02-03,Second Class,Maharashtra,West,Furniture,Furnishings,418.59,2,0.2,28.07
IN-100097,CU-0551,Customer_CU-0551,Consumer,2023-08-09,2023-08-17,Standard Class,Delhi,North,Technology,Copiers,841.3,2,0.0,139.76
IN-100098,CU-0418,Customer_CU-0418,Consumer,2021-10-05,2021-10-09,Standard Class,Chhattisgarh,Central,Technology,Copiers,668.21,2,0.2,202.9
IN-100099,CU-0661,Customer_CU-0661,Home Office,2022-07-27,2022-07-29,Standard Class,Odisha,East,Technology,Accessories,538.55,2,0.0,204.2
IN-100100,CU-0022,Customer_CU-0022,Consumer,2023-01-05,2023-01-07,Second Class,Delhi,North,Technology,Accessories,186.08,1,0.3,9.81
IN-100101,CU-0239,Customer_CU-0239,Corporate,2021-04-14,2021-04-20,First Class,Chhattisgarh,Central,Furniture,Tables,235.92,3,0.0,47.43
IN-100102,CU-0677,Customer_CU-0677,Consumer,2022-11-04,2022-11-10,Standard Class,Andhra Pradesh,South,Office Supplies,Labels,66.13,1,0.2,20.28
IN-100103,CU-0764,Customer_CU-0764,Corporate,2021-02-22,2021-02-25,Standard Class,Chhattisgarh,Central,Technology,Accessories,323.1,1,0.0,128.51
IN-100104,CU-0534,Customer_CU-0534,Corporate,2021-05-11,2021-05-16,First Class,Odisha,East,Technology,Phones,575.27,1,0.1,66.95
IN-100105,CU-0083,Customer_CU-0083,Corporate,2022-09-10,2022-09-15,Standard Class,Bihar,East,Furniture,Chairs,456.34,1,0.3,78.54
IN-100106,CU-0302,Customer_CU-0302,Consumer,2022-10-22,2022-10-27,Standard Class,Andhra Pradesh,South,Furniture,Tables,1493.61,3,0.2,260.47
IN-100107,CU-0463,Customer_CU-0463,Corporate,2023-07-19,2023-07-24,Standard Class,Delhi,North,Technology,Phones,778.31,4,0.2,120.42
IN-100108,CU-0704,Customer_CU-0704,Consumer,2022-04-13,2022-04-17,Same Day,Haryana,North,Technology,Copiers,838.65,2,0.2,214.89
IN-100109,CU-0576,Customer_CU-0576,Corporate,2023-08-30,2023-09-01,Standard Class,Haryana,North,Furniture,Chairs,311.2,4,0.0,71.07
IN-100110,CU-0592,Customer_CU-0592,Corporate,2022-11-07,2022-11-13,Standard Class,Haryana,North,Technology,Machines,118.29,6,0.2,15.81
IN-100111,CU-0232,Customer_CU-0232,Consumer,2023-11-06,2023-11-09,Standard Class,Uttar Pradesh,North,Office Supplies,Paper,87.89,3,0.2,21.53
IN-100112,CU-0781,Customer_CU-0781,Consumer,2023-05-29,2023-06-05,Standard Class,Maharashtra,West,Office Supplies,Supplies,95.03,3,0.1,19.26
IN-100113,CU-0032,Customer_CU-0032,Consumer,2022-09-25,2022-10-03,Second Class,Rajasthan,North,Technology,Phones,6105.33,2,0.2,1099.59
IN-100114,CU-0611,Customer_CU-0611,Consumer,2021-07-07,2021-07-13,First Class,Haryana,North,Furniture,Furnishings,283.19,2,0.1,99.9
IN-100115,CU-0425,Customer_CU-0425,Consumer,2021-06-23,2021-06-30,Second Class,Uttarakhand,North,Furniture,Tables,420.41,2,0.0,178.9
IN-100116,CU-0047,Customer_CU-0047,Consumer,2022-07-14,2022-07-17,Second Class,Madhya Pradesh,Central,Office Supplies,Storage,87.25,3,0.1,27.49
IN-100117,CU-0123,Customer_CU-0123,Consumer,2022-03-28,2022-04-01,Standard Class,Maharashtra,West,Office Supplies,Labels,31.44,4,0.0,5.23
IN-100118,CU-0074,Customer_CU-0074,Home Office,2021-01-16,2021-01-21,First Class,Gujarat,West,Technology,Accessories,1860.39,2,0.0,444.44
IN-100119,CU-0656,Customer_CU-0656,Consumer,2023-03-25,2023-04-01,Standard Class,Maharashtra,West,Furniture,Furnishings,602.78,2,0.1,227.03
IN-100120,CU-0448,Customer_CU-0448,Corporate,2023-05-06,2023-05-10,Standard Class,Kerala,South,Technology,Phones,1355.5,2,0.0,224.63
IN-100121,CU-0079,Customer_CU-0079,Consumer,2021-08-05,2021-08-08,Second Class,Assam,East,Office Supplies,Fasteners,39.71,3,0.0,7.5
IN-100122,CU-0242,Customer_CU-0242,Corporate,2023-11-12,2023-11-17,First Class,West Bengal,East,Office Supplies,Supplies,318.15,3,0.3,62.1
IN-100123,CU-0476,Customer_CU-0476,Home Office,2021-07-30,2021-08-02,Second Class,Uttarakhand,North,Furniture,Tables,107.61,1,0.0,23.92
IN-100124,CU-0058,Customer_CU-0058,Consumer,2023-07-09,2023-07-15,Standard Class,Kerala,South,Office Supplies,Envelopes,152.65,2,0.0,65.57
IN-100125,CU-0093,Customer_CU-0093,Corporate,2022-12-22,2022-12-27,Same Day,Odisha,East,Technology,Copiers,4776.25,1,0.0,1620.96
IN-100126,CU-0155,Customer_CU-0155,Consumer,2023-11-05,2023-11-09,Standard Class,Karnataka,South,Office Supplies,Supplies,36.91,3,0.1,5.8
IN-100127,CU-0625,Customer_CU-0625,Home Office,2021-05-07,2021-05-12,Standard Class,Assam,East,Technology,Phones,399.55,3,0.1,155.13
IN-100128,CU-0338,Customer_CU-0338,Corporate,2021-11-22,2021-11-26,Standard Class,Haryana,North,Technology,Copiers,727.55,1,0.2,106.46
IN-100129,CU-0597,Customer_CU-0597,Home Office,2021-07-13,2021-07-18,Standard Class,Andhra Pradesh,South,Technology,Machines,422.79,5,0.2,64.7
IN-100130,CU-0131,Customer_CU-0131,Consumer,2021-10-17,2021-10-25,Second Class,Gujarat,West,Technology,Copiers,164.75,2,0.1,19.54
IN-100131,CU-0498,Customer_CU-0498,Consumer,2023-12-15,2023-12-17,First Class,Assam,East,Office Supplies,Fasteners,95.75,1,0.0,32.67
IN-100132,CU-0540,Customer_CU-0540,Corporate,2022-01-29,2022-02-01,Second Class,Tamil Nadu,South,Furniture,Tables,141.2,2,0.0,30.16
IN-100133,CU-0170,Customer_CU-0170,Corporate,2021-03-19,2021-03-25,First Class,Uttarakhand,North,Office Supplies,Art,137.86,4,0.0,55.33
IN-100134,CU-0481,Customer_CU-0481,Consumer,2023-06-16,2023-06-18,Standard Class,Odisha,East,Technology,Accessories,290.77,4,0.1,50.68
IN-100135,CU-0205,Customer_CU-0205,Consumer,2022-02-02,2022-02-06,Standard Class,Odisha,East,Office Supplies,Paper,363.2,2,0.2,42.34
IN-100136,CU-0782,Customer_CU-0782,Home Office,2021-10-11,2021-10-18,Standard Class,Madhya Pradesh,Central,Furniture,Furnishings,176.51,4,0.2,56.35
IN-100137,CU-0425,Customer_CU-0425,Consumer,2021-11-25,2021-11-29,First Class,Haryana,North,Office Supplies,Art,67.37,4,0.0,11.91
IN-100138,CU-0666,Customer_CU-0666,Home Office,2021-04-20,2021-04-24,First Class,Punjab,North,Technology,Accessories,1383.21,1,0.3,259.39
IN-100139,CU-0631,Customer_CU-0631,Corporate,2022-11-18,2022-11-24,Standard Class,Telangana,South,Furniture,Chairs,123.38,4,0.4,13.36
IN-100140,CU-0296,Customer_CU-0296,Corporate,2021-01-11,2021-01-19,Standard Class,West Bengal,East,Furniture,Bookcases,396.22,3,0.3,53.63
IN-100141,CU-0549,Customer_CU-0549,Home Office,2022-05-02,2022-05-06,Standard Class,Haryana,North,Furniture,Tables,939.84,1,0.2,153.34
IN-100142,CU-0685,Customer_CU-0685,Corporate,2021-02-03,2021-02-08,Standard Class,Gujarat,West,Office Supplies,Binders,21.18,2,0.0,9.52
IN-100143,CU-0045,Customer_CU-0045,Consumer,2021-06-25,2021-06-30,First Class,Assam,East,Technology,Phones,785.38,2,0.1,128.86
IN-100144,CU-0753,Customer_CU-0753,Consumer,2023-03-04,2023-03-13,Second Class,Madhya Pradesh,Central,Technology,Phones,840.41,3,0.2,207.21
IN-100145,CU-0139,Customer_CU-0139,Consumer,2022-11-12,2022-11-15,Standard Class,Rajasthan,North,Technology,Machines,1344.32,7,0.2,194.38
IN-100146,CU-0408,Customer_CU-0408,Consumer,2021-05-10,2021-05-16,Standard Class,Telangana,South,Technology,Phones,218.49,5,0.0,46.47
IN-100147,CU-0377,Customer_CU-0377,Consumer,2023-08-28,2023-09-01,Standard Class,Telangana,South,Office Supplies,Binders,27.43,5,0.0,5.92
IN-100148,CU-0274,Customer_CU-0274,Consumer,2023-06-14,2023-06-21,Second Class,Punjab,North,Office Supplies,Paper,143.99,3,0.0,56.73
IN-100149,CU-0303,Customer_CU-0303,Home Office,2021-06-19,2021-06-25,Standard Class,Uttarakhand,North,Furniture,Furnishings,418.88,1,0.5,61.1
IN-100150,CU-0446,Customer_CU-0446,Home Office,2022-09-20,2022-09-24,Standard Class,Rajasthan,North,Office Supplies,Fasteners,112.78,1,0.1,33.22
IN-100151,CU-0623,Customer_CU-0623,Home Office,2022-07-17,2022-07-22,Standard Class,Punjab,North,Furniture,Chairs,435.79,3,0.1,69.58
IN-100152,CU-0380,Customer_CU-0380,Consumer,2023-06-17,2023-06-19,Standard Class,Madhya Pradesh,Central,Furniture,Tables,191.71,1,0.1,22.08
IN-100153,CU-0191,Customer_CU-0191,Home Office,2023-02-01,2023-02-05,Standard Class,Assam,East,Furniture,Tables,397.74,1,0.1,121.58
IN-100154,CU-0503,Customer_CU-0503,Corporate,2023-10-20,2023-10-25,Second Class,Andhra Pradesh,South,Office Supplies,Storage,117.19,1,0.2,16.26
IN-100155,CU-0328,Customer_CU-0328,Corporate,2022-02-14,2022-02-17,First Class,Rajasthan,North,Furniture,Furnishings,186.52,1,0.4,21.72
IN-100156,CU-0371,Customer_CU-0371,Consumer,2022-12-13,2022-12-19,Second Class,Telangana,South,Office Supplies,Supplies,482.6,3,0.2,45.65
IN-100157,CU-0565,Customer_CU-0565,Consumer,2023-11-08,2023-11-11,First Class,Uttar Pradesh,North,Furniture,Tables,482.54,3,0.3,140.96
IN-100158,CU-0589,Customer_CU-0589,Consumer,2021-09-23,2021-09-28,Standard Class,Telangana,South,Furniture,Chairs,127.35,2,0.1,23.55
IN-100159,CU-0602,Customer_CU-0602,Corporate,2021-06-01,2021-06-04,Standard Class,Odisha,East,Technology,Phones,1200.99,1,0.0,354.04
IN-100160,CU-0331,Customer_CU-0331,Consumer,2022-01-08,2022-01-14,Standard Class,Assam,East,Furniture,Furnishings,151.45,1,0.4,35.34
IN-100161,CU-0547,Customer_CU-0547,Consumer,2022-04-07,2022-04-11,Standard Class,Tamil Nadu,South,Office Supplies,Appliances,182.8,3,0.0,47.43
IN-100162,CU-0030,Customer_CU-0030,Home Office,2021-07-11,2021-07-16,Standard Class,Rajasthan,North,Furniture,Tables,834.54,3,0.2,111.67
IN-100163,CU-0297,Customer_CU-0297,Consumer,2021-06-16,2021-06-18,Second Class,West Bengal,East,Office Supplies,Appliances,43.01,3,0.2,9.68
IN-100164,CU-0349,Customer_CU-0349,Consumer,2022-09-11,2022-09-16,Standard Class,Telangana,South,Office Supplies,Fasteners,214.23,1,0.1,41.44
IN-100165,CU-0478,Customer_CU-0478,Corporate,2021-10-22,2021-10-26,Standard Class,Madhya Pradesh,Central,Office Supplies,Envelopes,130.52,2,0.3,34.04
IN-100166,CU-0164,Customer_CU-0164,Consumer,2021-09-08,2021-09-12,Same Day,Delhi,North,Furniture,Tables,637.56,5,0.0,106.08
IN-100167,CU-0024,Customer_CU-0024,Consumer,2022-11-02,2022-11-10,Standard Class,West Bengal,East,Office Supplies,Envelopes,496.27,2,0.2,99.51
IN-100168,CU-0670,Customer_CU-0670,Consumer,2021-07-04,2021-07-12,First Class,Uttar Pradesh,North,Office Supplies,Paper,72.18,1,0.0,24.84
IN-100169,CU-0053,Customer_CU-0053,Consumer,2023-08-22,2023-08-26,Standard Class,Haryana,North,Furniture,Chairs,180.73,2,0.0,66.99
IN-100170,CU-0122,Customer_CU-0122,Home Office,2022-02-03,2022-02-07,Second Class,Punjab,North,Technology,Phones,298.7,1,0.1,50.98
IN-100171,CU-0042,Customer_CU-0042,Corporate,2021-09-21,2021-09-30,Standard Class,Kerala,South,Technology,Machines,319.18,1,0.1,92.66
IN-100172,CU-0327,Customer_CU-0327,Consumer,2021-04-03,2021-04-05,First Class,Bihar,East,Office Supplies,Envelopes,83.98,5,0.1,29.84
IN-100173,CU-0018,Customer_CU-0018,Corporate,2021-11-29,2021-12-03,Standard Class,Chhattisgarh,Central,Office Supplies,Appliances,122.37,2,0.0,24.66
